#cct    red amber green blue white
1800	0.840241787	0.909269192	1	0.011311029	0.194062057
1900	0.763359902	0.859734808	1	0.00379065	0.251035096
2000	0.653545807	0.824673313	1	0.037886975	0.240108866
2100	0.577824586	0.771819891	1	0.061242871	0.242927276
2200	0.534558475	0.703047058	1	0.072209178	0.264795106
2300	0.482625224	0.700694366	1	0.095284266	0.289508687
2400	0.425325907	0.690773828	1	0.132131812	0.281279727
2500	0.402950946	0.672527254	1	0.145635095	0.331386966
2600	0.416991903	0.563835149	1	0.144978078	0.364549767
2700	0.472228348	0.582761542	1	0.093253062	0.672751686
2800	0.477985078	0.5967304	1	0.097748101	0.847721636
2900	0.366455893	0.551966163	1	0.218051739	0.536435607
3000	0.371026531	0.50708002	1	0.23906473	0.589311406
3100	0.333300879	0.492349603	1	0.291590837	0.509075423
3200	0.349544955	0.462188449	1	0.312629517	0.627806958
3300	0.325007931	0.467010072	1	0.361769835	0.627831341
3400	0.354950313	0.386250089	1	0.37744759	0.672886992
3500	0.337177597	0.398600524	1	0.431440579	0.712466884
3600	0.373695793	0.316915857	1	0.452903297	0.783686063
3700	0.359817685	0.331564233	1	0.517991637	0.84645837
3800	0.403015857	0.242808751	1	0.549082574	0.935786063
3900	0.382697215	0.250589979	0.975712098	0.614531615	0.9965
4000	0.379159777	0.213852907	0.951258195	0.647222594	0.9965
4100	0.373457539	0.176349848	0.91718279	0.674169781	0.9965
4200	0.334924736	0.095507584	0.751673959	0.632859963	0.9965
4300	0.328923692	0.062764097	0.714159463	0.654768333	0.9965
4400	0.322143788	0.030841664	0.672778925	0.673584495	0.9965
4500	0.314862697	0	0.628794442	0.689841869	0.9965
4600	0.274859107	0	0.539723039	0.703046001	0.9965
4700	0.287052753	0	0.577701678	0.762845107	0.9965
4800	0.24744983	0	0.485450185	0.77169709	0.9965
4900	0.256776492	0	0.513576648	0.826387135	0.9965
5000	0.218313517	0	0.420486607	0.831812167	0.9965
5100	0.225363305	0	0.440568887	0.881750842	0.9965
5200	0.188500287	0	0.348342028	0.884519576	0.9965
5300	0.154775706	0	0.262159374	0.888175759	0.9965
5400	0.158751064	0	0.271676234	0.93088759	0.9965
5500	0.162598647	0	0.28003173	0.97258143	0.9965
5600	0.163937038	0	0.283198914	1	0.984581515
5700	0.130884502	0	0.19454981	1	0.98757821
5800	0.100394989	0	0.111422256	1	0.989305586
5900	0.125913376	0	0.185300398	1	0.925604818
6000	0.123691394	0	0.180303157	1	0.89795143
6100	0.095069037	0	0.100258176	1	0.904484954
6200	0.093528985	0	0.096059328	1	0.8800343
6300	0.092088962	0	0.091693927	1	0.857218044
6400	0.066471012	0	0.018165693	1	0.864589931
6500	0.065523717	0	0.01446735	1	0.844207275
6600	0.064630525	0	0.010689685	1	0.825052576
6700	0.063788126	0	0.006810425	1	0.807049164
6800	0.062992376	0	0.002888888	1	0.790127257
6900	0.085049065	0	0.064114958	1	0.74733325
7000	0.084086676	0	0.059496985	1	0.732591792
7100	0.083171053	0	0.054896973	1	0.718652397
7200	0.082301314	0	0.050350288	1	0.705483584
7300	0.081470939	0	0.045829047	1	0.692994652
7400	0.059736911	0.020357281	0.01547527	1	0.679319111
7500	0.079923845	0	0.036980823	1	0.669912833
7600	0.079201059	0	0.032642008	1	0.659228576
7700	0.078509744	0	0.028366188	1	0.649073539
7800	0.077847298	0	0.024167018	1	0.639390493
7900	0.077211288	0	0.020021043	1	0.630156629
8000	0.076600694	0	0.015942932	1	0.621343812
8100	0.076014561	0	0.011947013	1	0.612924792
8200	0.07545199	0	0.008011009	1	0.604889068
8300	0.074909725	0	0.004149259	1	0.59720916
8400	0.074388261	0	0.000358396	1	0.589837824
8500	0.074938642	0.019189315	0.032203648	1	0.556959662
8600	0.074453642	0.01906439	0.028390966	1	0.550375223
8700	0.07398545	0.018943803	0.024646383	1	0.544075387
8800	0.073534715	0.018827721	0.02100272	1	0.538029917
8900	0.073097464	0.01871512	0.017403075	1	0.532209671
9000	0.072675584	0.018606485	0.013880876	1	0.526625197
9100	0.072267512	0.018501412	0.01045061	1	0.521248147
9200	0.071872865	0.018399803	0.007057721	1	0.516058446
9300	0.071490182	0.01830128	0.003751929	1	0.511075984
9400	0.071120237	0.018206042	0.000513779	1	0.506272922
9500	0.089637359	0	0.021244044	1	0.50281476
9600	0.089198054	0	0.018016336	1	0.498339255
9700	0.088769799	0	0.014853862	1	0.49401394
9800	0.088355017	0	0.011755399	1	0.489834566
9900	0.08795339	0	0.008719137	1	0.48579833
10000	0.087561979	0	0.005743162	1	0.481888995
